"Window","Loss_MAR2","Loss_VAR1"
1,44.6282760440492,41.756200833792
2,90.8888490842712,77.400086954443
3,85.2914234562171,114.639657280449
4,129.54433735162,100.28948777637
5,42.8609340061272,59.4238928991943
6,98.9581617994515,140.452542891458
7,85.2899321389622,65.8691437417154
8,19.3803784710705,15.1154428258492
9,18.9142627476171,22.2081763918489
10,62.7775199387026,50.950794412542
11,28.8895582800047,43.2699737074296
12,19.57920206931,29.3333954104695
13,162.992954244403,128.602307177841
14,65.1879033243598,115.893001718747
15,70.9812171385767,70.4990320295425
16,94.3978291398952,146.868390492673
17,34.9841918340407,140.29126717719
18,101.633894028388,98.9043583012905
19,66.1418540422745,51.3231493762821
20,66.0441984346559,61.9713384061395
21,55.240648598337,50.7834786336757
22,217.914993694432,241.607556302854
23,107.325305712705,52.7213370877905
24,31.6468223771801,31.8421089137304
25,51.9288234641495,43.4556400186257
26,50.9784973860316,92.8880133179081
27,67.4474571372061,110.884424487868
28,136.458863394878,131.800335694727
29,47.8002398444567,83.1878966593369
30,73.3382129744461,69.7285122263094
31,48.1092675906461,39.2665218477901
32,12.3244478977599,23.9376930620199
33,23.3391329290723,27.0773793382387
34,109.61048144436,99.2415121587789
35,66.0610326666767,74.2191263360369
36,43.4167405815885,29.85498637664
37,51.4782614450621,47.4537901635234
38,32.6579832155345,47.9277339306121
39,54.5579812945546,41.7285028779333
40,58.5091027502219,40.8110785979308
41,83.5253985963561,76.3449206748612
42,71.223887141975,102.64499662533
43,58.961384744569,77.4585964651151
44,26.6038121428667,23.9604428791953
45,20.4249420577884,31.1960965936958
46,128.82605189755,141.33897800162
47,69.0781288215099,117.629976122735
48,23.5260620100726,84.2620579029967
49,43.9479681731179,62.711936025992
50,104.400504876248,133.042223801009
51,117.499959822538,71.3710790221892
52,60.2655099189197,110.923955414563
53,161.475758157347,86.8579982657744
54,43.4662435109288,43.5652887662779
55,614.761982666143,617.243008698477
56,128.877340406154,162.139714075489
57,66.699951268658,122.646912589879
58,194.777938331095,179.489519490061
59,34.1322377411252,28.0576843660959
60,66.3087031033134,87.1227376567344
61,116951.837949731,116448.775213169
62,22425.6809372696,63827.9771363496
63,84585.6484586329,24121.5348363006
64,9507.04207089081,7241.11451522446
65,8830.76792647477,2223.25918792878
66,2246.2071976745,1590.15458079818
67,757.910745112415,258.010227756382
68,94.8617451290738,121.872640916959
69,198.088495617224,66.601491570675
70,101.663927222193,195.313182949139
71,131.288158471478,100.252894564381
72,632.24884445181,231.358491127197
73,597.435187219011,1126.17240417645
74,122.862018234706,164.88360335795
75,104.045507818879,128.915823968089
76,234.799953826869,183.452481511463
77,256.800018283711,214.482913741686
78,225.951630808287,181.606706274789
79,930.111477367812,940.041172581898
80,50.7006293177376,119.534719294009
81,108.801911527858,137.71848322875
82,149.875242528525,111.279778874659
83,345.505554912284,263.840163013637
84,43.0622477120641,32.9716682747779
85,203.090568326661,90.5185547231615
86,114.072171956432,119.310617504817
87,218.838368022957,400.276677469817
88,596.619049633648,1073.20384733669
89,268.80505566248,229.197540533473
90,58.1664456268892,79.1659021778712
91,41.5342860886197,39.51302604689
92,56.3692409143936,108.391905842855
93,45.3478376799095,96.1374365784016
94,211.373420000643,192.987231787834
95,158.698552932207,583.825448382756
96,24.2218761863856,39.4759264028693
97,84.224258460727,60.3180210114496
98,152.497712500967,284.152080644153
99,347.555729393924,580.685992993405
100,108.872334575651,203.887081975685
101,281.983970522988,76.5385920632363
102,54.395764151806,106.084747954275
103,511.877318763169,717.320364541806
104,50.5930443584593,173.910205933357
105,140.935731616113,117.250046339155
106,91.7612038182777,63.0358284360016
107,100.306356371791,110.13645438741
108,82.0984241422327,46.2770494365554
109,44.8575760189562,41.1094726594565
110,44.0365321398138,48.7562911975574
111,93.7393481609436,101.309427809366
112,362.312459859861,352.082374259027
113,213.969957737417,315.054094323903
114,394.455909981174,314.275962773978
115,863.061838542356,1113.88893109897
116,65.1101417655742,59.4457149308246
117,19.6193441182612,28.9825060507045
118,430.310998649754,302.940248545455
119,68.327984713049,130.169149384567
120,134.406044818136,25.0137528299877
121,24.0171166731958,84.8295699558157
122,60.6074405155564,35.174288428975
123,79.4227430706863,115.607246552737
124,99.0051521269734,73.2390208890688
125,130.822043354182,114.858421436844
126,105.460849247343,97.8583206972782
127,192.428772473767,268.765185967048
128,160.512037490589,196.601534078647
129,226.662244417123,53.9672365744749
