"Series","RMSE_MAR2","RMSE_VAR2","RMSE_ratio"
"IL_MFG",8.8918,4.4155,2.0137
"OH_MFG",16.2339,10.6308,1.5271
"MI_MFG",26.4582,22.5384,1.1739
"IN_MFG",15.549,11.2601,1.3809
"KY_MFG",6.0374,4.4829,1.3468
"IL_CONS",3.9006,2.8938,1.3479
"OH_CONS",5.047,3.6665,1.3765
"MI_CONS",9.013,7.6418,1.1794
"IN_CONS",2.8325,1.7925,1.5802
"KY_CONS",1.3744,1.0084,1.363
"IL_RET",10.3536,8.8848,1.1653
"OH_RET",11.5488,9.3351,1.2371
"MI_RET",12.8154,10.5068,1.2197
"IN_RET",6.0353,4.4138,1.3674
"KY_RET",3.6113,2.9624,1.219
"IL_GOVT",7.1008,7.0756,1.0036
"OH_GOVT",4.4561,4.3188,1.0318
"MI_GOVT",5.0839,4.9164,1.0341
"IN_GOVT",4.319,4.2497,1.0163
"KY_GOVT",2.0884,2.0723,1.0078
"IL_FIRE",1.367,1.3167,1.0382
"OH_FIRE",1.3153,1.1181,1.1763
"MI_FIRE",1.6794,1.4679,1.1441
"IN_FIRE",0.7131,0.5252,1.3578
"KY_FIRE",0.5421,0.4912,1.1037
