"Window","Loss_MAR","Loss_VAR"
1,44.285704490287,41.756200833792
2,104.686693731959,77.400086954443
3,89.4243671153675,114.639657280449
4,130.372862794374,100.28948777637
5,49.9665980737133,59.4238928991943
6,94.0193032954143,140.452542891458
7,86.1546380113389,65.8691437417154
8,17.257568655525,15.1154428258492
9,24.2567026522803,22.2081763918489
10,62.2663053166405,50.950794412542
11,33.052686685134,43.2699737074296
12,21.4684804505773,29.3333954104695
13,171.032225966149,128.602307177841
14,58.6596537132278,115.893001718747
15,59.2668246449336,70.4990320295425
16,101.899473778063,146.868390492673
17,59.1817253566946,140.29126717719
18,106.780580551268,98.9043583012905
19,70.9403046697951,51.3231493762821
20,66.8249808694781,61.9713384061395
21,47.4146571720279,50.7834786336757
22,217.270055072676,241.607556302854
23,99.912777677288,52.7213370877905
24,36.0208605289892,31.8421089137304
25,40.0871996184362,43.4556400186257
26,53.6977946276322,92.8880133179081
27,77.9141263543724,110.884424487868
28,155.256945569112,131.800335694727
29,62.2048470234489,83.1878966593369
30,84.0341059227088,69.7285122263094
31,48.655709928298,39.2665218477901
32,13.6698333656407,23.9376930620199
33,25.6503947573676,27.0773793382387
34,106.167835689272,99.2415121587789
35,69.0039604269445,74.2191263360369
36,32.3110639559744,29.85498637664
37,50.928261642152,47.4537901635234
38,37.8379421713939,47.9277339306121
39,42.0751682244651,41.7285028779333
40,59.2642350342373,40.8110785979308
41,85.6384257468091,76.3449206748612
42,73.2323588889735,102.64499662533
43,53.5534877569313,77.4585964651151
44,29.8883387059966,23.9604428791953
45,23.4239693676499,31.1960965936958
46,140.898075829435,141.33897800162
47,89.8806784174733,117.629976122735
48,46.7285416678872,84.2620579029967
49,44.6223077734904,62.711936025992
50,103.377793131745,133.042223801009
51,119.68504133562,71.3710790221892
52,68.6454471456641,110.923955414563
53,126.290059780271,86.8579982657744
54,41.9241996109523,43.5652887662779
55,505.3764129916,617.243008698477
56,153.097284277153,162.139714075489
57,126.444116481989,122.646912589879
58,160.732312481061,179.489519490061
59,29.2396794517158,28.0576843660959
60,70.4547014103867,87.1227376567344
61,117636.289510584,116448.775213169
62,52401.9392294336,63827.9771363496
63,28426.1185914222,24121.5348363006
64,2716.32404630056,7241.11451522446
65,1432.96763928277,2223.25918792878
66,1569.42460618612,1590.15458079818
67,156.229525302862,258.010227756382
68,93.7744163314256,121.872640916959
69,50.9156660253903,66.601491570675
70,45.7841979007016,195.313182949139
71,167.012675989929,100.252894564381
72,313.883298835426,231.358491127197
73,843.813390242862,1126.17240417645
74,142.650720693859,164.88360335795
75,71.4961938440533,128.915823968089
76,216.873254718452,183.452481511463
77,174.834527332833,214.482913741686
78,180.045879907631,181.606706274789
79,510.087624750676,940.041172581898
80,72.0408640369459,119.534719294009
81,106.22991008024,137.71848322875
82,131.041447566631,111.279778874659
83,329.692377866218,263.840163013637
84,36.5150156723663,32.9716682747779
85,116.615005942204,90.5185547231615
86,113.120560721279,119.310617504817
87,258.83209701743,400.276677469817
88,537.275641001706,1073.20384733669
89,107.603725335208,229.197540533473
90,47.9771576780059,79.1659021778712
91,20.355584900994,39.51302604689
92,55.7342546089386,108.391905842855
93,60.6697061926771,96.1374365784016
94,176.774847998802,192.987231787834
95,100.473294412394,583.825448382756
96,51.6983826061574,39.4759264028693
97,76.0711667750023,60.3180210114496
98,202.07696190588,284.152080644153
99,580.185993744425,580.685992993405
100,133.331834432437,203.887081975685
101,37.5419267286093,76.5385920632363
102,38.6258884588314,106.084747954275
103,495.136651612934,717.320364541806
104,77.2979486322866,173.910205933357
105,57.9199438279387,117.250046339155
106,88.2555961870292,63.0358284360016
107,73.8912315922557,110.13645438741
108,50.4186883707271,46.2770494365554
109,42.0420917722071,41.1094726594565
110,43.2460839454908,48.7562911975574
111,95.0102173055608,101.309427809366
112,310.187704363425,352.082374259027
113,188.287362720682,315.054094323903
114,318.706004210724,314.275962773978
115,899.231154765337,1113.88893109897
116,52.6990670350902,59.4457149308246
117,12.9456597147638,28.9825060507045
118,379.053143212128,302.940248545455
119,279.327715054104,130.169149384567
120,23.5933704390608,25.0137528299877
121,50.6243349629233,84.8295699558157
122,39.8875269353791,35.174288428975
123,95.3360267259459,115.607246552737
124,85.7747064113539,73.2390208890688
125,99.3388129354165,114.858421436844
126,114.345461115112,97.8583206972782
127,196.742718467365,268.765185967048
128,46.4215455426724,196.601534078647
129,61.5866909398486,53.9672365744749
