"Window","Loss_MAR1","Loss_MAR2","Loss_VAR1"
1,44.285704490287,44.6282760440492,41.756200833792
2,104.686693731959,90.8888490842712,77.400086954443
3,89.4243671153675,85.2914234562171,114.639657280449
4,130.372862794374,129.54433735162,100.28948777637
5,49.9665980737133,42.8609340061272,59.4238928991943
6,94.0193032954143,98.9581617994515,140.452542891458
7,86.1546380113389,85.2899321389622,65.8691437417154
8,17.257568655525,19.3803784710705,15.1154428258492
9,24.2567026522803,18.9142627476171,22.2081763918489
10,62.2663053166405,62.7775199387026,50.950794412542
11,33.052686685134,28.8895582800047,43.2699737074296
12,21.4684804505773,19.57920206931,29.3333954104695
13,171.032225966149,162.992954244403,128.602307177841
14,58.6596537132278,65.1879033243598,115.893001718747
15,59.2668246449336,70.9812171385767,70.4990320295425
16,101.899473778063,94.3978291398952,146.868390492673
17,59.1817253566946,34.9841918340407,140.29126717719
18,106.780580551268,101.633894028388,98.9043583012905
19,70.9403046697951,66.1418540422745,51.3231493762821
20,66.8249808694781,66.0441984346559,61.9713384061395
21,47.4146571720279,55.240648598337,50.7834786336757
22,217.270055072676,217.914993694432,241.607556302854
23,99.912777677288,107.325305712705,52.7213370877905
24,36.0208605289892,31.6468223771801,31.8421089137304
25,40.0871996184362,51.9288234641495,43.4556400186257
26,53.6977946276322,50.9784973860316,92.8880133179081
27,77.9141263543724,67.4474571372061,110.884424487868
28,155.256945569112,136.458863394878,131.800335694727
29,62.2048470234489,47.8002398444567,83.1878966593369
30,84.0341059227088,73.3382129744461,69.7285122263094
31,48.655709928298,48.1092675906461,39.2665218477901
32,13.6698333656407,12.3244478977599,23.9376930620199
33,25.6503947573676,23.3391329290723,27.0773793382387
34,106.167835689272,109.61048144436,99.2415121587789
35,69.0039604269445,66.0610326666767,74.2191263360369
36,32.3110639559744,43.4167405815885,29.85498637664
37,50.928261642152,51.4782614450621,47.4537901635234
38,37.8379421713939,32.6579832155345,47.9277339306121
39,42.0751682244651,54.5579812945546,41.7285028779333
40,59.2642350342373,58.5091027502219,40.8110785979308
41,85.6384257468091,83.5253985963561,76.3449206748612
42,73.2323588889735,71.223887141975,102.64499662533
43,53.5534877569313,58.961384744569,77.4585964651151
44,29.8883387059966,26.6038121428667,23.9604428791953
45,23.4239693676499,20.4249420577884,31.1960965936958
46,140.898075829435,128.82605189755,141.33897800162
47,89.8806784174733,69.0781288215099,117.629976122735
48,46.7285416678872,23.5260620100726,84.2620579029967
49,44.6223077734904,43.9479681731179,62.711936025992
50,103.377793131745,104.400504876248,133.042223801009
51,119.68504133562,117.499959822538,71.3710790221892
52,68.6454471456641,60.2655099189197,110.923955414563
53,126.290059780271,161.475758157347,86.8579982657744
54,41.9241996109523,43.4662435109288,43.5652887662779
55,505.3764129916,614.761982666143,617.243008698477
56,153.097284277153,128.877340406154,162.139714075489
57,126.444116481989,66.699951268658,122.646912589879
58,160.732312481061,194.777938331095,179.489519490061
59,29.2396794517158,34.1322377411252,28.0576843660959
60,70.4547014103867,66.3087031033134,87.1227376567344
61,117636.289510584,116951.837949731,116448.775213169
62,52401.9392294336,22425.6809372696,63827.9771363496
63,28426.1185914222,84585.6484586329,24121.5348363006
64,2716.32404630056,9507.04207089081,7241.11451522446
65,1432.96763928277,8830.76792647477,2223.25918792878
66,1569.42460618612,2246.2071976745,1590.15458079818
67,156.229525302862,757.910745112415,258.010227756382
68,93.7744163314256,94.8617451290738,121.872640916959
69,50.9156660253903,198.088495617224,66.601491570675
70,45.7841979007016,101.663927222193,195.313182949139
71,167.012675989929,131.288158471478,100.252894564381
72,313.883298835426,632.24884445181,231.358491127197
73,843.813390242862,597.435187219011,1126.17240417645
74,142.650720693859,122.862018234706,164.88360335795
75,71.4961938440533,104.045507818879,128.915823968089
76,216.873254718452,234.799953826869,183.452481511463
77,174.834527332833,256.800018283711,214.482913741686
78,180.045879907631,225.951630808287,181.606706274789
79,510.087624750676,930.111477367812,940.041172581898
80,72.0408640369459,50.7006293177376,119.534719294009
81,106.22991008024,108.801911527858,137.71848322875
82,131.041447566631,149.875242528525,111.279778874659
83,329.692377866218,345.505554912284,263.840163013637
84,36.5150156723663,43.0622477120641,32.9716682747779
85,116.615005942204,203.090568326661,90.5185547231615
86,113.120560721279,114.072171956432,119.310617504817
87,258.83209701743,218.838368022957,400.276677469817
88,537.275641001706,596.619049633648,1073.20384733669
89,107.603725335208,268.80505566248,229.197540533473
90,47.9771576780059,58.1664456268892,79.1659021778712
91,20.355584900994,41.5342860886197,39.51302604689
92,55.7342546089386,56.3692409143936,108.391905842855
93,60.6697061926771,45.3478376799095,96.1374365784016
94,176.774847998802,211.373420000643,192.987231787834
95,100.473294412394,158.698552932207,583.825448382756
96,51.6983826061574,24.2218761863856,39.4759264028693
97,76.0711667750023,84.224258460727,60.3180210114496
98,202.07696190588,152.497712500967,284.152080644153
99,580.185993744425,347.555729393924,580.685992993405
100,133.331834432437,108.872334575651,203.887081975685
101,37.5419267286093,281.983970522988,76.5385920632363
102,38.6258884588314,54.395764151806,106.084747954275
103,495.136651612934,511.877318763169,717.320364541806
104,77.2979486322866,50.5930443584593,173.910205933357
105,57.9199438279387,140.935731616113,117.250046339155
106,88.2555961870292,91.7612038182777,63.0358284360016
107,73.8912315922557,100.306356371791,110.13645438741
108,50.4186883707271,82.0984241422327,46.2770494365554
109,42.0420917722071,44.8575760189562,41.1094726594565
110,43.2460839454908,44.0365321398138,48.7562911975574
111,95.0102173055608,93.7393481609436,101.309427809366
112,310.187704363425,362.312459859861,352.082374259027
113,188.287362720682,213.969957737417,315.054094323903
114,318.706004210724,394.455909981174,314.275962773978
115,899.231154765337,863.061838542356,1113.88893109897
116,52.6990670350902,65.1101417655742,59.4457149308246
117,12.9456597147638,19.6193441182612,28.9825060507045
118,379.053143212128,430.310998649754,302.940248545455
119,279.327715054104,68.327984713049,130.169149384567
120,23.5933704390608,134.406044818136,25.0137528299877
121,50.6243349629233,24.0171166731958,84.8295699558157
122,39.8875269353791,60.6074405155564,35.174288428975
123,95.3360267259459,79.4227430706863,115.607246552737
124,85.7747064113539,99.0051521269734,73.2390208890688
125,99.3388129354165,130.822043354182,114.858421436844
126,114.345461115112,105.460849247343,97.8583206972782
127,196.742718467365,192.428772473767,268.765185967048
128,46.4215455426724,160.512037490589,196.601534078647
129,61.5866909398486,226.662244417123,53.9672365744749
